trade_size,conduit,awg_14,awg_12,awg_10,awg_8,awg_6,awg_4,awg_3,awg_2,awg_1,awg_0,awg_00,awg_000,awg_0000
1/2,EMT,12,9,5,3,2,1,1,1,1,1,,,
1/2,IMC,14,10,6,3,2,1,1,1,1,1,1,,
1/2,RMC,13,9,6,3,2,1,1,1,1,1,,,
1/2,FMC,13,9,6,3,2,1,1,1,1,1,,,
3/4,EMT,22,16,10,6,4,2,1,1,1,1,1,1,1
3/4,IMC,24,17,11,6,4,3,2,1,1,1,1,1,1
3/4,RMC,22,16,10,6,4,2,1,1,1,1,1,1,1
3/4,FMC,22,16,10,6,4,2,1,1,1,1,1,1,1
1,EMT,35,26,16,9,7,4,3,3,1,1,1,1,1
1,IMC,39,29,18,10,7,4,4,3,2,1,1,1,1
1,RMC,36,26,17,9,7,4,3,3,1,1,1,1,1
1,FMC,33,24,15,9,6,4,3,3,1,1,1,1,1
1 1/4,EMT,61,45,28,16,12,7,6,5,4,3,2,1,1
1 1/4,IMC,68,49,31,18,13,8,6,5,4,3,3,2,1
1 1/4,RMC,63,46,29,16,12,7,6,5,4,3,2,1,1
1 1/4,FMC,52,38,24,14,10,6,5,4,3,2,1,1,1
1 1/2,EMT,84,61,38,22,16,10,8,7,5,4,3,3,2
1 1/2,IMC,91,67,42,24,17,11,9,7,5,4,4,3,2
1 1/2,RMC,85,62,39,22,16,10,8,7,5,4,3,3,2
1 1/2,FMC,76,56,35,20,14,9,7,6,4,4,3,2,1
2,EMT,138,101,63,36,26,16,13,11,8,7,6,5,4
2,IMC,149,109,69,39,28,17,15,12,9,8,6,5,4
2,RMC,140,102,64,37,27,16,14,11,8,7,6,5,4
2,FMC,135,98,62,35,25,16,13,11,8,7,6,5,4
2 1/2,EMT,241,176,111,64,46,28,24,20,15,12,10,8,7
2 1/2,IMC,211,154,97,56,40,25,21,17,13,11,9,7,6
2 1/2,RMC,200,146,92,53,38,23,20,17,12,10,8,7,6
2 1/2,FMC,202,147,93,53,38,24,20,17,12,10,9,7,6
3,EMT,364,266,167,96,69,43,36,30,22,19,16,13,11
3,IMC,326,238,150,86,62,38,32,27,20,17,14,12,9
3,RMC,309,225,142,82,59,36,31,26,19,16,13,11,9
3,FMC,291,212,134,77,55,34,29,24,18,15,12,10,8
3 1/2,EMT,476,347,219,126,91,56,47,40,29,25,20,17,14
3 1/2,IMC,436,318,200,115,83,51,43,36,27,23,19,16,13
3 1/2,RMC,412,301,189,109,79,48,41,34,25,21,18,15,12
3 1/2,FMC,396,289,182,105,76,46,39,33,24,20,17,14,12
4,EMT,608,443,279,161,116,71,60,51,37,32,26,22,18
4,IMC,562,410,258,149,107,66,56,47,35,29,24,20,17
4,RMC,531,387,244,140,101,62,53,44,33,27,23,19,16
4,FMC,518,378,238,137,99,61,51,43,32,27,22,18,15