Nuclide,Dvalue(TBq),D1value(TBq),D2value(TBq)
H3,2.00E+03,UL,2.00E+03
Be7,1.00E+00,1.00E+00,1.00E+03
Be10,3.00E+01,3.00E+02,3.00E+01
C11,6.00E-02,6.00E-02,4.00E+02
C14,5.00E+01,2.00E+05,5.00E+01
N13,6.00E-02,6.00E-02,UL
F18,6.00E-02,6.00E-02,3.00E+01
Na22,3.00E-02,3.00E-02,2.00E+01
Na24,2.00E-02,2.00E-02,2.00E+01
Mg28,2.00E-02,2.00E-02,1.00E+01
Al26,3.00E-02,3.00E-02,5.00E+00
Si31,1.00E+01,1.00E+01,2.00E+01
Si32,7.00E+00,1.00E+01,7.00E+00
P32,1.00E+01,1.00E+01,2.00E+01
P33,2.00E+02,7.00E+03,2.00E+02
S35,6.00E+01,4.00E+04,6.00E+01
Cl36,2.00E+01,3.00E+02,2.00E+01
Cl38,5.00E-02,5.00E-02,1.00E+01
Ar37,UL,UL,UL
Ar39,3.00E+02,3.00E+02,3.00E+04
Ar41,5.00E-02,5.00E-02,3.00E+00
K40,UL,UL,UL
K42,2.00E-01,2.00E-01,1.00E+01
K43,7.00E-02,7.00E-02,3.00E+01
Ca41,UL,UL,UL
Ca45,1.00E+02,6.00E+03,1.00E+02
Ca47,6.00E-02,6.00E-02,1.00E+01
Sc44,3.00E-02,3.00E-02,1.00E+01
Sc46,3.00E-02,3.00E-02,4.00E+01
Sc47,7.00E-01,7.00E-01,8.00E+01
Sc48,2.00E-02,2.00E-02,3.00E+01
Ti44,3.00E-02,3.00E-02,9.00E+00
V48,2.00E-02,2.00E-02,3.00E+01
V49,2.00E+03,UL,2.00E+03
Cr51,2.00E+00,2.00E+00,5.00E+03
Mn52,2.00E-02,2.00E-02,2.00E+01
Mn53,UL,UL,UL
Mn54,8.00E-02,8.00E-02,4.00E+01
Mn56,4.00E-02,4.00E-02,2.00E+01
Fe52,2.00E-02,2.00E-02,9.00E+00
Fe55,8.00E+02,UL,8.00E+02
Fe59,6.00E-02,6.00E-02,1.00E+01
Fe60,6.00E-02,6.00E-02,1.00E+01
Co55,3.00E-02,3.00E-02,2.00E+02
Co56,2.00E-02,2.00E-02,2.00E+01
Co57,7.00E-01,7.00E-01,4.00E+02
Co58,7.00E-02,7.00E-02,7.00E+01
Co58m,7.00E-02,7.00E-02,2.00E+02
Co60,3.00E-02,3.00E-02,3.00E+01
Ni59,1.00E+03,UL,1.00E+03
Ni63,6.00E+01,UL,6.00E+01
Ni65,1.00E-01,1.00E-01,2.00E+01
Cu64,3.00E-01,3.00E-01,4.00E+01
Cu67,7.00E-01,7.00E-01,3.00E+02
Zn65,1.00E-01,1.00E-01,3.00E+02
Zn69,3.00E+01,8.00E+01,3.00E+01
Zn69m,2.00E-01,2.00E-01,2.00E+01
Ga67,5.00E-01,5.00E-01,4.00E+02
Ga68,7.00E-02,7.00E-02,1.00E+01
Ga72,3.00E-02,3.00E-02,2.00E+01
Ge68,7.00E-02,7.00E-02,2.00E+01
Ge71,1.00E+03,6.00E+05,1.00E+03
Ge77,6.00E-02,6.00E-02,1.00E+01
As72,4.00E-02,4.00E-02,9.00E+01
As73,4.00E+01,4.00E+01,1.00E+02
As74,9.00E-02,9.00E-02,3.00E+01
As76,2.00E-01,2.00E-01,1.00E+01
As77,8.00E+00,8.00E+00,4.00E+01
Se75,2.00E-01,2.00E-01,2.00E+02
Se79,2.00E+02,UL,2.00E+02
Br76,3.00E-02,3.00E-02,2.00E+02
Br77,2.00E-01,2.00E-01,7.00E+02
Br82,3.00E-02,3.00E-02,7.00E+01
Kr81,3.00E+01,3.00E+01,7.00E+02
Kr85,3.00E+01,3.00E+01,2.00E+03
Kr85m,5.00E-01,5.00E-01,3.00E+01
Kr87,9.00E-02,9.00E-02,4.00E+00
Rb81,1.00E-01,1.00E-01,2.00E+03
Rb83,1.00E-01,1.00E-01,5.00E+01
Rb84,7.00E-02,7.00E-02,2.00E+01
Rb86,7.00E-01,7.00E-01,2.00E+01
Rb87,UL,UL,UL
Sr82,6.00E-02,6.00E-02,5.00E+00
Sr85,1.00E-01,1.00E-01,7.00E+01
Sr85m,1.00E-01,1.00E-01,3.00E+02
Sr87m,2.00E-01,2.00E-01,9.00E+01
Sr89,2.00E+01,2.00E+01,2.00E+01
Sr90,1.00E+00,4.00E+00,1.00E+00
Sr91,6.00E-02,6.00E-02,2.00E+01
Sr92,4.00E-02,4.00E-02,1.00E+01
Y87,9.00E-02,9.00E-02,2.00E+02
Y88,3.00E-02,3.00E-02,2.00E+01
Y90,5.00E+00,5.00E+00,1.00E+01
Y91,8.00E+00,8.00E+00,2.00E+01
Y91m,1.00E-01,1.00E-01,2.00E+02
Y92,2.00E-01,2.00E-01,1.00E+01
Y93,6.00E-01,6.00E-01,1.00E+01
Zr88,2.00E-02,2.00E-02,3.00E+01
Zr93,UL,UL,UL
Zr95,4.00E-02,4.00E-02,1.00E+01
Zr97,4.00E-02,4.00E-02,9.00E+00
Nb93m,3.00E+02,2.00E+03,3.00E+02
Nb94,4.00E-02,4.00E-02,3.00E+01
Nb95,9.00E-02,9.00E-02,6.00E+01
Nb97,1.00E-01,1.00E-01,2.00E+01
Mo93,3.00E+02,2.00E+03,3.00E+02
Mo99,3.00E-01,3.00E-01,2.00E+01
Tc95m,1.00E-01,1.00E-01,6.00E+01
Tc96,3.00E-02,3.00E-02,3.00E+01
Tc96m,3.00E-02,3.00E-02,2.00E+02
Tc97,UL,UL,UL
Tc97m,4.00E+01,2.00E+02,4.00E+01
Tc98,5.00E-02,5.00E-02,1.00E+01
Tc99,3.00E+01,UL,3.00E+01
Tc99m,7.00E-01,7.00E-01,7.00E+02
Ru97,3.00E-01,3.00E-01,5.00E+02
Ru103,1.00E-01,1.00E-01,3.00E+01
Ru105,8.00E-02,8.00E-02,2.00E+01
Ru106,3.00E-01,3.00E-01,1.00E+01
Rh99,1.00E-01,1.00E-01,1.00E+02
Rh101,3.00E-01,3.00E-01,1.00E+02
Rh102,3.00E-02,3.00E-02,3.00E+01
Rh102m,1.00E-01,1.00E-01,4.00E+01
Rh103m,9.00E+02,9.00E+02,1.00E+04
Rh105,9.00E-01,9.00E-01,8.00E+01
Pd103,9.00E+01,9.00E+01,1.00E+02
Pd107,UL,UL,UL
Pd109,2.00E+01,2.00E+01,2.00E+01
Ag105,1.00E-01,1.00E-01,1.00E+02
Ag108m,4.00E-02,4.00E-02,2.00E+01
Ag110m,2.00E-02,2.00E-02,2.00E+01
Ag111,2.00E+00,2.00E+00,3.00E+01
Cd109,2.00E+01,2.00E+01,3.00E+01
Cd113m,4.00E+01,4.00E+02,4.00E+01
Cd115,2.00E-01,2.00E-01,2.00E+01
Cd115m,3.00E+00,3.00E+00,2.00E+01
In111,2.00E-01,2.00E-01,1.00E+02
In113m,3.00E-01,3.00E-01,5.00E+01
In114m,8.00E-01,8.00E-01,1.00E+00
In115m,4.00E-01,4.00E-01,3.00E+01
Sn113,3.00E-01,3.00E-01,5.00E+01
Sn117m,5.00E-01,5.00E-01,4.00E+01
Sn119m,7.00E+01,7.00E+01,1.00E+02
Sn121m,7.00E+01,1.00E+02,7.00E+01
Sn123,7.00E+00,7.00E+00,2.00E+01
Sn125,1.00E-01,1.00E-01,8.00E+00
Sn126,3.00E-02,3.00E-02,7.00E+00
Sb122,1.00E-01,1.00E-01,2.00E+01
Sb124,4.00E-02,4.00E-02,1.00E+01
Sb125,2.00E-01,2.00E-01,3.00E+01
Sb126,2.00E-02,2.00E-02,2.00E+01
Te121,1.00E-01,1.00E-01,3.00E+01
Te121m,1.00E-01,1.00E-01,8.00E+00
Te123m,6.00E-01,6.00E-01,9.00E+00
Te125m,1.00E+01,2.00E+01,1.00E+01
Te127,1.00E+01,1.00E+01,4.00E+01
Te127m,3.00E+00,1.00E+01,3.00E+00
Te129,1.00E+00,1.00E+00,2.00E+01
Te129m,1.00E+00,1.00E+00,2.00E+00
Te131m,4.00E-02,4.00E-02,2.00E-01
Te132,3.00E-02,3.00E-02,8.00E-01
I123,5.00E-01,5.00E-01,3.00E+01
I124,6.00E-02,6.00E-02,4.00E-01
I125,2.00E-01,1.00E+01,2.00E-01
I126,1.00E-01,1.00E-01,2.00E-01
I129,UL,UL,UL
I131,2.00E-01,2.00E-01,2.00E-01
I132,3.00E-02,3.00E-02,6.00E+00
I133,1.00E-01,1.00E-01,3.00E-01
I134,3.00E-02,3.00E-02,2.00E+01
I135,4.00E-02,4.00E-02,2.00E+00
Xe122,6.00E-02,6.00E-02,4.00E+00
Xe123,9.00E-02,9.00E-02,5.00E+00
Xe127,3.00E-01,3.00E-01,2.00E+01
Xe131m,1.00E+01,1.00E+01,7.00E+02
Xe133,3.00E+00,3.00E+00,2.00E+02
Xe135,3.00E-01,3.00E-01,2.00E+01
Cs129,3.00E-01,3.00E-01,1.00E+03
Cs131,2.00E+01,2.00E+01,2.00E+03
Cs132,1.00E-01,1.00E-01,1.00E+02
Cs134,4.00E-02,4.00E-02,3.00E+01
Cs134m,4.00E-02,4.00E-02,1.00E+04
Cs135,UL,UL,UL
Cs136,3.00E-02,3.00E-02,2.00E+01
Cs137,1.00E-01,1.00E-01,2.00E+01
Ba131,2.00E-01,2.00E-01,1.00E+02
Ba133,2.00E-01,2.00E-01,7.00E+01
Ba133m,3.00E-01,3.00E-01,2.00E+02
Ba140,3.00E-02,3.00E-02,1.00E+01
La137,2.00E+01,2.00E+01,5.00E+02
La140,3.00E-02,3.00E-02,2.00E+01
Ce139,6.00E-01,6.00E-01,2.00E+02
Ce141,1.00E+00,1.00E+00,2.00E+01
Ce143,3.00E-01,3.00E-01,1.00E+01
Ce144,9.00E-01,9.00E-01,9.00E+00
Pr142,1.00E+00,1.00E+00,2.00E+01
Pr143,3.00E+01,8.00E+01,3.00E+01
Nd147,6.00E-01,6.00E-01,4.00E+01
Nd149,2.00E-01,2.00E-01,1.00E+01
Pm143,2.00E-01,2.00E-01,2.00E+02
Pm144,4.00E-02,4.00E-02,3.00E+01
Pm145,1.00E+01,1.00E+01,4.00E+02
Pm147,4.00E+01,8.00E+03,4.00E+01
Pm148m,3.00E-02,3.00E-02,3.00E+01
Pm149,6.00E+00,6.00E+00,2.00E+01
Pm151,2.00E-01,2.00E-01,3.00E+01
Sm145,4.00E+00,4.00E+00,2.00E+02
Sm147,UL,UL,UL
Sm151,5.00E+02,UL,5.00E+02
Sm153,2.00E+00,2.00E+00,4.00E+01
Eu147,2.00E-01,2.00E-01,1.00E+02
Eu148,3.00E-02,3.00E-02,3.00E+01
Eu149,2.00E+00,2.00E+00,5.00E+02
Eu150b,2.00E+00,2.00E+00,3.00E+01
Eu150a,5.00E-02,5.00E-02,4.00E+02
Eu152,6.00E-02,6.00E-02,3.00E+01
Eu152m,2.00E-01,2.00E-01,2.00E+01
Eu154,6.00E-02,6.00E-02,2.00E+01
Eu155,2.00E+00,2.00E+00,1.00E+02
Eu156,5.00E-02,5.00E-02,3.00E+01
Gd146,3.00E-02,3.00E-02,8.00E+00
Gd148,4.00E-01,UL,4.00E-01
Gd153,1.00E+00,1.00E+00,8.00E+01
Gd159,2.00E+00,2.00E+00,3.00E+01
Tb157,1.00E+02,1.00E+02,1.00E+03
Tb158,9.00E-02,9.00E-02,5.00E+01
Tb160,6.00E-02,6.00E-02,3.00E+01
Dy159,6.00E+00,6.00E+00,5.00E+02
Dy165,3.00E+00,3.00E+00,2.00E+01
Dy166,1.00E+00,1.00E+00,2.00E+01
Ho166,2.00E+00,2.00E+00,2.00E+01
Ho166m,4.00E-02,4.00E-02,3.00E+01
Er169,2.00E+02,2.00E+03,2.00E+02
Er171,2.00E-01,2.00E-01,2.00E+01
Tm167,6.00E-01,6.00E-01,2.00E+02
Tm170,2.00E+01,2.00E+01,2.00E+01
Tm171,3.00E+02,3.00E+02,4.00E+02
Yb169,3.00E-01,3.00E-01,3.00E+01
Yb175,2.00E+00,2.00E+00,1.00E+02
Lu172,4.00E-02,4.00E-02,6.00E+01
Lu173,9.00E-01,9.00E-01,2.00E+02
Lu174,8.00E-01,8.00E-01,1.00E+02
Lu174m,6.00E-01,6.00E-01,6.00E+01
Lu177,2.00E+00,2.00E+00,1.00E+02
Hf172,4.00E-02,4.00E-02,6.00E+00
Hf175,2.00E-01,2.00E-01,3.00E+01
Hf181,1.00E-01,1.00E-01,1.00E+01
Hf182,5.00E-02,5.00E-02,UL
Ta178a,7.00E-02,7.00E-02,4.00E+03
Ta179,6.00E+00,6.00E+00,6.00E+02
Ta182,6.00E-02,6.00E-02,3.00E+01
W178,9.00E-01,9.00E-01,6.00E+02
W181,5.00E+00,5.00E+00,2.00E+03
W185,1.00E+02,7.00E+02,1.00E+02
W187,1.00E-01,1.00E-01,3.00E+01
W188,1.00E+00,1.00E+00,8.00E+00
Re184,8.00E-02,8.00E-02,3.00E+01
Re184m,7.00E-02,7.00E-02,2.00E+01
Re186,4.00E+00,4.00E+00,1.00E+01
Re187,UL,UL,UL
Re188,1.00E+00,1.00E+00,3.00E+01
Re189,1.00E+00,1.00E+00,1.00E+01
Os185,1.00E-01,1.00E-01,7.00E+01
Os191,2.00E+00,2.00E+00,9.00E+01
Os191m,1.00E+00,1.00E+00,7.00E+02
Os193,1.00E+00,1.00E+00,3.00E+01
Os194,7.00E-01,7.00E-01,9.00E+00
Ir189,1.00E+00,1.00E+00,2.00E+02
Ir190,5.00E-02,5.00E-02,6.00E+01
Ir192,8.00E-02,8.00E-02,2.00E+01
Ir194,7.00E-01,7.00E-01,2.00E+01
Pt188,4.00E-02,4.00E-02,9.00E+01
Pt191,3.00E-01,3.00E-01,3.00E+02
Pt193,3.00E+03,1.00E+05,3.00E+03
Pt193m,1.00E+01,1.00E+01,4.00E+02
Pt195m,2.00E+00,2.00E+00,3.00E+02
Pt197,4.00E+00,4.00E+00,5.00E+01
Pt197m,9.00E-01,9.00E-01,2.00E+01
Au193,6.00E-01,6.00E-01,1.00E+03
Au194,7.00E-02,7.00E-02,4.00E+02
Au195,2.00E+00,2.00E+00,1.00E+02
Au198,2.00E-01,2.00E-01,3.00E+01
Au199,9.00E-01,9.00E-01,3.00E+02
Hg194,7.00E-02,7.00E-02,9.00E+00
Hg195m,2.00E-01,2.00E-01,1.00E+01
Hg197,2.00E+00,2.00E+00,3.00E+01
Hg197m,7.00E-01,7.00E-01,2.00E+01
Hg203,3.00E-01,3.00E-01,2.00E+00
Tl200,5.00E-02,5.00E-02,2.00E+02
Tl201,1.00E+00,1.00E+00,1.00E+03
Tl202,2.00E-01,2.00E-01,2.00E+02
Tl204,2.00E+01,7.00E+01,2.00E+01
Pb201,9.00E-02,9.00E-02,8.00E+02
Pb202,2.00E-01,2.00E-01,6.00E+01
Pb203,2.00E-01,2.00E-01,2.00E+02
Pb205,UL,UL,UL
Pb210,3.00E-01,4.00E+01,3.00E-01
Pb212,5.00E-02,5.00E-02,9.00E+00
Bi205,4.00E-02,4.00E-02,7.00E+01
Bi206,2.00E-02,2.00E-02,5.00E+01
Bi207,5.00E-02,5.00E-02,4.00E+01
Bi210,8.00E+00,5.00E+01,8.00E+00
Bi210m,3.00E-01,6.00E-01,3.00E-01
Bi212,5.00E-02,5.00E-02,1.00E+01
Po210,6.00E-02,8.00E+03,6.00E-02
At211,5.00E-01,5.00E-01,1.00E+01
Rn222,4.00E-02,4.00E-02,9.00E+04
Ra223,1.00E-01,2.00E-01,1.00E-01
Ra224,5.00E-02,5.00E-02,3.00E-01
Ra225,1.00E-01,3.00E-01,1.00E-01
Ra226,4.00E-02,4.00E-02,7.00E-02
Ra228,3.00E-02,3.00E-02,4.00E-02
Ac225,9.00E-02,3.00E-01,9.00E-02
Ac227,4.00E-02,2.00E-01,4.00E-02
Ac228,3.00E-02,3.00E-02,1.00E+02
Th227,8.00E-02,2.00E-01,8.00E-02
Th228,4.00E-02,5.00E-02,4.00E-02
Th229,1.00E-02,2.00E-01,1.00E-02
Th230,7.00E-02,9.00E+02,7.00E-02
Th231,1.00E+01,1.00E+01,3.00E+02
Th232,UL,UL,UL
Th234,2.00E+00,2.00E+00,2.00E+00
Pa230,1.00E-01,1.00E-01,9.00E-01
Pa231,6.00E-02,8.00E-01,6.00E-02
Pa233,4.00E-01,4.00E-01,8.00E+00
U230,4.00E-02,4.00E+00,4.00E-02
U232,6.00E-02,7.00E-02,6.00E-02
U233,7.00E-02,7.00E-02,7.00E-02
U234,1.00E-01,1.00E-01,1.00E-01
U235,8.00E-05,8.00E-05,8.00E-05
U236,2.00E-01,UL,2.00E-01
U238,UL,UL,UL
U Natural,UL,UL,UL
U Depleted,UL,UL,UL
U Enriched 10-20%,8.00E+04,8.00E+04,8.00E+04
U Enriched >20 %,8.00E-05,8.00E-05,8.00E-05
Np235,1.00E+02,1.00E+02,2.00E+02
Np236b,7.00E-03,7.00E-03,7.00E-03
Np236a,8.00E-01,8.00E-01,7.00E+00
Np237,7.00E-02,3.00E-01,7.00E-02
Np239,5.00E-01,5.00E-01,6.00E+01
Pu236,1.00E-01,1.00E+00,1.00E-01
Pu237,2.00E+00,2.00E+00,6.00E+01
Pu238,6.00E-02,3.00E+02,6.00E-02
Pu239,6.00E-02,1.00E+00,6.00E-02
Pu240,6.00E-02,4.00E+00,6.00E-02
Pu241,3.00E+00,2.00E+03,3.00E+00
Pu242,7.00E-02,7.00E-02,7.00E-02
Pu244,3.00E-04,3.00E-04,3.00E-04
Am241,6.00E-02,8.00E+00,6.00E-02
Am242m,3.00E-01,1.00E+00,3.00E-01
Am243,2.00E-01,4.00E-01,2.00E-01
Am244,9.00E-02,9.00E-02,9.00E+01
Cm240,3.00E-01,1.00E+00,3.00E-01
Cm241,1.00E-01,1.00E-01,7.00E+00
Cm242,4.00E-02,2.00E+03,4.00E-02
Cm243,2.00E-01,6.00E-01,2.00E-01
Cm244,5.00E-02,1.00E+04,5.00E-02
Cm245,9.00E-02,9.00E-02,9.00E-02
Cm246,2.00E-01,6.00E+00,2.00E-01
Cm247,1.00E-03,1.00E-03,1.00E-03
Cm248,5.00E-03,5.00E-03,7.00E-02
Bk247,8.00E-02,8.00E-02,8.00E-02
Bk249,1.00E+01,1.00E+01,4.00E+01
Cf248,1.00E-01,1.00E+02,1.00E-01
Cf249,1.00E-01,2.00E-01,1.00E-01
Cf250,1.00E-01,4.00E-01,1.00E-01
Cf251,1.00E-01,7.00E-01,1.00E-01
Cf252,2.00E-02,2.00E-02,1.00E-01
Cf253,4.00E-01,1.00E+01,4.00E-01
Cf254,3.00E-04,3.00E-04,2.00E-03
239Pu/9Be,6.00E-02,1.00E+00,6.00E-02
241Am/9Be,6.00E-02,1.00E+00,6.00E-02
